Menu item,Meal Type,Food Type
Danette choco/lait,Dessert,Lait
Flan caramel,Dessert,Lait
Carottes râpées,Entrée,legumes racines
salade verte,Accompagnement,legumes autres
lasagnes bolo,Plat,Blé Seigle
Lait fermier bio,Fromage,Lait
Haricots beurre,Accompagnement,legumes autres
Sauté de dinde moutarde,Plat,Volaille
Crêpe au sucre,Dessert,Blé Seigle
Choux blanc bio à la mimolette,Accompagnement,type chou
Concombres,Entrée,legumes autres
Pommes de terre sautées agro,Accompagnement,pomme de terre
Clémentines,Dessert,agrumes
Tome bio,Fromage,Fromage
poisson beurre blanc,Plat,Poissons
salsifis creme,Accompagnement,legumes racines
Pizza,Plat,Blé Seigle
poulet confit,Plat,Volaille
Pomme,Dessert,fruits autre
frites,Accompagnement,pomme de terre
saute de dinde,Plat,Volaille
Crème vanille,Dessert,Lait
Pamplemousse,Entrée,agrumes
sauté de porc,Plat,Porc
Endives aux des de pommes,Entrée,legumes autres
Pot au feu,Plat,Boeuf
yaourt aromaitsé,Fromage,Lait
et ses légumes,Accompagnement,legumes autres
poisson pané,Plat,Poissons
Tomme blanche,Fromage,Fromage
Brocolis beurre Provençal,Accompagnement,legumes autres
Banane,Dessert,Banane
salade de riz maison,Entrée,Riz
pamplemousse,Entrée,agrumes
flan chocolat,Dessert,Lait
lasagne de boeuf,Plat,Blé Seigle
Pâté  de foie bio,Entrée,Volaille
sauté de dinde chasseur,Plat,Volaille
batonniere de legumes,Entrée,légumes autres
Pomme,dessert,fruits autre
Fromage blanc / fruits rouges cuisinés,fromage,Lait
Tartiflette aux canard fumé,Plat,Pomme de terre
concombres,Entrée,légumes autres
Poisson Meuniere,Plat,Poissons
tome bio,fromage,Lait
Kiwi,dessert,fruits autre
epinards a la creme,Accompagnement,légumes autres
taboulé,Entrée,Blé Seigle
Yaourt aro,fromage,Lait
surimi,Entrée,Poissons
Pilon de poulet,Plat,Volaille
salade,Entrée,légumes autres
Lentilles maison,Accompagnement,Légumineuse autre
Ananas,dessert,fruits autre
Salade de pâtes,Entrée,Blé Seigle
sauce Bourguignonne,Accompagnement,Boeuf
camembert,fromage,Lait
sauté de boeuf,Plat,Boeuf
Haricots verts,Accompagnement,légumes autres
Choux rouges bio,Accompagnement,type chou
boudin noir,Plat,Porc
merguez volaille,Plat,Volaille
purée de p de terre,Accompagnement,pomme de terre
Crème vanille,dessert,Lait
des de pommes,dessert,fruits autre
Port salut,fromage,Lait
Orange,dessert,agrumes
salade de betteraves,Entrée,légumes racines
mais,Accompagnement,légumes autres
poisson pané/citron,Plat,Poissons
Courgettes à la tomate,Accompagnement,légumes autres
riz,Accompagnement,Riz
Mâche / demi-oeuf,Entrée,oeufs
chili con carné de légumes,Plat,légumes autres
yaourt bio,fromage,Lait
Abricots sec,dessert,Bais et Raisins
Lait fermier,fromage,Lait
curry de dinde,Plat,Volaille
curry de porc,Plat,Porc
Marmelade de pomme,dessert,fruits autre
Gâteau au fromage blanc,dessert,Lait
des de mimolettes,fromage,Lait
Choux blancs bio,Accompagnement,type chou
Carottes râpées,Entrée,légumes racines
Tomme noire,fromage,Lait
Banane,dessert,Banane
Petits pois,Accompagnement,légumes autres
cordon bleu de volaille,Plat,Volaille
Liégeois chocolat,dessert,Lait
radis / beurre,Entrée,légumes racines
Salade verte,Entrée,légumes autres
Parmentier de poisson maison,Plat,Poissons
Suisse aro,fromage,Lait
omelette,Plat,oeufs
Frites,Accompagnement,pomme de terre
ketchup,Accompagnement,Tomates
Pamplemousse,Entrée,agrumes
Sauté de veau à lorange,Plat,Boeuf
Ananas,dessert,fruits autre
maïs,Accompagnement,légumes autres
salade de lentilles,Entrée,Légumineuse autre
Haricots beurre,Accompagnement,légumes autres
tomate,Accompagnement,Tomates
chanteneige,fromage,Lait
Timbale  de pâtes dinde,Plat,Blé Seigle
Pomme cuite à la framboise,dessert,fruits autre
gruyère rapés,fromage,Lait
timbale de pâtes porc,Plat,Blé Seigle
salade / dés de chèvre,Entrée,Fromage
Orange,dessert,agrumes
sauce crustacés,Accompagnement,Crustacés
Filet de poisson,Plat,Poissons
Betteraves,Entrée,légumes racines
Purée carottes DAucy,Accompagnement,légumes racines
Camembert,fromage,Lait
Parmentier de boeuf,Plat,Boeuf
Flan caramel,dessert,Lait
Rillettes de thon,Entrée,Poissons
salade verte,Entrée,légumes autres
Pizza,Plat,Blé Seigle
Pomme,dessert,fruits autre
Chèvre,fromage,Lait
Choux fleurs béchamel agro,Accompagnement,type chou
Poulet rôti au jus,Plat,Volaille
rôti de porc,Plat,Porc
jus de veau,Accompagnement,Boeuf
rôti de dinde,Plat,Volaille
lait fermier,fromage,Lait
Eclair chocolat,dessert,Lait
Concombres,Entrée,légumes autres
Haricots verts,Accompagnement,légumes autres
Kiwi,dessert,fruits autre
Gruyère,fromage,Lait
RIZ,Accompagnement,Riz
carottes râpées,Entrée,légumes racines
filet de lieu sauce marmite du perray,Plat,Poissons
yaourt bio,fromage,Lait
Pommes noisettes,Accompagnement,pomme de terre
sauté de dinde Niçoise,Plat,Volaille
Salade au surimi,Entrée,Poissons
tarte fromage,Plat,Fromage
Edam,fromage,Lait
Saucisse Chipolatas,Plat,Porc
Salade de fruits frais,dessert,fruits autre
petits pois,Accompagnement,légumes autres
merguez de volaille,Plat,Volaille
legumes,Accompagnement,légumes autres
Choux rouges bio au gruyère,Accompagnement,type chou
Ananas,dessert,fruits autre
Couscous boulettes de boeuf,Plat,Blé Seigle
semoule,Accompagnement,Blé Seigle
filet de poisson meunière,Plat,Poissons
Riz,Accompagnement,Riz
maïs tomate( mélange maison,Accompagnement,légumes autres
Cantal,fromage,Lait
Brocolis,Accompagnement,légumes autres
Banane,dessert,Banane
Radis/beurre,Entrée,légumes racines
Hachis parmentier,Plat,pomme de terre
ile flottante,dessert,Lait
salade verte,Entrée,légumes autres
Ananas,dessert,fruits autre
batonnière de légumes,Entrée,légumes autres
tarte au fromage,Plat,Fromage
Haché de volaille,Plat,Volaille
Fromage vache/brebis,fromage,Lait
timbale de pâtes au jambon,Plat,Blé Seigle
ab,Entrée,fruits autre
Fromage blanc/abricots secs,fromage,Lait
salade / surimi,Entrée,Poissons
Brocolis Provençal,Accompagnement,légumes autres
Pomme,dessert,fruits autre
des de tomate,Accompagnement,Tomates
salade P de terre,Entrée,pomme de terre
Poisson pané,Plat,Poissons
Chanteneige,fromage,Lait
oeuf durs,Entrée,oeufs
persil,Accompagnement,légumes autres
Lentilles cuisinées BIO,Accompagnement,Légumineuse autre
Salade verte au thon,Entrée,Poissons
Saucisse de Toulouse,Plat,Porc
Yaourt aro,fromage,Lait
Sauté de boeuf sauce poivre,Plat,Boeuf
Crème chocolat,dessert,Lait
Frites,Accompagnement,pomme de terre
Concombres,Entrée,légumes autres
Salade de pâtes aux tomates confites,Entrée,Blé Seigle
Gouda,fromage,Lait
Palet broco/carottes,Accompagnement,légumes racines
sauce Normande,Accompagnement,Crustacés
Filet de lieu surgelé,Plat,Poissons
Fraises,dessert,Bais et Raisins
Melon,Entrée,fruits autre
Flan caramel,dessert,Lait
blanquette de veau,Plat,Boeuf
Riz,Accompagnement,Riz
Salade au quinoa (quinoa,Entrée,Blé Seigle
haricots beurre et plats,Accompagnement,légumes autres
concombres),Entrée,légumes autres
Rôti de porc au jus,Plat,Porc
Banane,dessert,Banane
Tomme bio PIRUDEL,fromage,Lait
tomate,Accompagnement,Tomates
Choux blanc mimolette,Accompagnement,type chou
Purée de carotte agro,Accompagnement,légumes racines
filet de lieu printanière,Plat,Poissons
Yaourt bio + biscuit,fromage,Lait
Ananas,dessert,fruits autre
tarte au fromage,Plat,Fromage
citron,Accompagnement,agrumes
Tomme noire,fromage,Lait
Poisson pané,Plat,Poissons
courgette à la tomate,Accompagnement,légumes autres
des gruyère,fromage,Lait
pommes noisette,Accompagnement,pomme de terre
Cocktail de fruits,dessert,fruits autre
Sauté de dinde à la dijonnaise,Plat,Volaille
salade,Entrée,légumes autres
Mogette de Vendée,Accompagnement,Légumineuse autre
carottes râpées,Entrée,légumes racines
Crème vanille,dessert,Lait
chipolata/merguez,Plat,Porc
scolaire,Plat,Lait
Melon,Entrée,fruits autre
Lasagnes,Plat,Blé Seigle
yaourt aro,fromage,Lait
salade verte,Entrée,légumes autres
Pilons de poulet confit,Plat,Volaille
Pizza,Plat,Blé Seigle
Kiwi,dessert,fruits autre
St paulin,fromage,Lait
petits pois,Accompagnement,légumes autres
Epinards,Accompagnement,légumes autres
Concombres,Entrée,légumes autres
Jambon fumé/bl de dinde,Entrée,Volaille
lait bio,fromage,Lait
Eclair choco,dessert,Lait
sauce beurre blanc,Accompagnement,Lait
poisson frais,Plat,Poissons
Fraises au sucre,Dessert,fruits autre
Camembert,Fromage,Fromage
betteraves en des,Entrée,legumes racines
Pommes rissolées,Accompagnement,pomme de terre
sauté de veau Marengo,Plat,Veau
Flan choco,Dessert,Lait
tagliatelles,Accompagnement,Blé Seigle
pastèque,Entrée,fruits autre
rôti de dinde au jus,Plat,Volaille
frites,Accompagnement,pomme de terre
salade à la mimolette,Entrée,Fromage
Compote de pomme,Dessert,fruits autre
Filet de poisson meunière,Plat,Poissons
Fruit de saison (nectarine??),Dessert,fruits autre
Carottes vichy,Accompagnement,legumes racines
Même association en S17,Plat,
taboulé,Entrée,Blé Seigle
chèvre,Fromage,Fromage
sauté de dinde aux agrumes,Plat,Volaille
Sauté de porc aux agrumes,Plat,Porc
salade de tomates,Entrée,Tomates
purée de patate douce,Accompagnement,pomme de terre
Yaourt bio,Dessert,Lait
rôti de boeuf,Plat,Boeuf
Macarons fraise / rhubarbe,Dessert,fruits autre
Crème de gruyère,Entrée,Fromage
poêlée méridionnale Davigel,Accompagnement,legumes autres
ketchup,Accompagnement,Tomates
melon,Entrée,fruits autre
Poulet dAncenis,Plat,Volaille
cerise,Dessert,Bais et Raisins
Cantal,Fromage,Fromage
carottes râpées,Entrée,legumes racines
Petits pois cuisinés,Accompagnement,legumes autres
Fraises,Dessert,fruits autre
salade ble tomate maïs,Entrée,Tomates
Tome bio(pirudel),Fromage,Fromage
salade verte,Entrée,legumes autres
salade composée:,Entrée,
tarte saumon / epinards,Plat,Poissons
saucisse de toulouse grillée,Plat,Porc
Ananas,Dessert,fruits autre
salade aux dés de gruyère,Entrée,Fromage
Lentilles bio cuisinées,Accompagnement,Legumineuse autre
nectarine,Dessert,fruits autre
tarte au fromage,Plat,Fromage
Poisson  pané,Plat,Poissons
Gouda,Fromage,Fromage
Tarte aux poireaux educalim,Plat,Poireau
Brocolis,Accompagnement,legumes autres
Gaspacho,Entrée,legumes autres
Flan caramel,Dessert,Lait
Blanquette de veau,Plat,Veau
Salade de choux fleurs Educalim,Entrée,type chou
pomme de terre rissolées,Accompagnement,pomme de terre
Lait bio,Accompagnement,Lait
Omelette,Plat,oeufs
ratatouille cuisinée,Accompagnement,legumes autres
beignet pomme,Dessert,fruits autre
radis / beurre,Entrée,legumes racines
Ile flottante,Dessert,Lait
Melon1/8,Entrée,fruits autre
salade verte,Entrée,legumes autres
Raviolis,Plat,Blé Seigle
Pâté de foie bio/cornichons,Entrée,Foie Gras
St Paulin,Fromage,Fromage
FILET Poulet rôti,Plat,Volaille
Choux fleurs bécha,Accompagnement,type chou
Pêche,Dessert,fruits autre
Rôti de porc au jus,Plat,Porc
Rôti de dinde au jus,Plat,Volaille
yaourt aro,Dessert,Lait
Concombres,Entrée,legumes autres
Pommes noisette,Accompagnement,pomme de terre
Filet de poisson,Plat,Poissons
cerise,Dessert,Bais et Raisins
Batonnière de légumes agro,Accompagnement,legumes autres
Chanteneige,Fromage,Fromage
taboulé,Entrée,Blé Seigle
Beurre blanc,Sauce,Lait
paupiette sauce Agrumes,Plat,Volaille
Betteraves (stock) au gruyère,Entrée,legumes racines
Riz,Accompagnement,Riz
salade de fruits frais,Dessert,fruits autre
Pizza,Plat,Blé Seigle
Nectarine,Dessert,fruits autre
Purée de carottes agro,Accompagnement,legumes racines
Mayonnaise,Sauce,Huile Colza
Rôti de boeuf froid,Plat,Boeuf
Lentilles bio,Accompagnement,Legumineuse autre
Pastèque,Entrée,fruits autre
suisses aro,Fromage,Fromage
cordon bleu,Plat,Volaille
sauce crustacés,Sauce,Crustacés
Filet de lieu,Plat,Poissons
Salade de pâtes aux tomates confites,Entrée,pâtes
Biscuit,Dessert,Blé Seigle
Compote stock,Dessert,fruits autre
H. beurre et plat,Accompagnement,Lait
camembert,Fromage,Fromage
Melon,Entrée,fruits autre
creme dessert vanille,Dessert,Lait
et gruyère râpé,Fromage,Fromage
Pâtes à la bolognaise,Plat,Blé Seigle
rôti de porc,Plat,Porc
Lait bio,Accompagnement,Lait
radis/beurre,Entrée,legumes racines
rôti de dinde,Plat,Volaille
petits pois,Accompagnement,legumes autres
tarte aux pommes,Dessert,fruits autre
Tomates cerises,Entrée,Tomates
Champanet,Fromage,Fromage
manchon de volaille rôti,Plat,Volaille
Chips,Accompagnement,pomme de terre
REPAS FROID,,
cerises,Dessert,Bais et Raisins
Gruyère,Fromage,Fromage
tomate),Entrée,Tomates
Prune reine-claude,Dessert,fruits autre
maïs,Accompagnement,Mais
Purée de carottes,Accompagnement,legumes racines
Salade de lentilles bio (lentilles,Entrée,Legumineuse autre
Sauté de dinde au curry,Plat,Volaille
Riz basmati,Accompagnement,Riz
oeuf dur,Entrée,oeufs
Chili de légumes,Plat,legumes autres
salade / demi-oeuf,Entrée,oeufs
Yaourt bio,Dessert,Lait
Poisson pané,Plat,Poissons
Compote / biscuit,Dessert,fruits autre
madeleine,Dessert,Blé Seigle
Courgettes à la tomate,Accompagnement,legumes autres
Melon,Entrée,fruits autre
Camembert,Fromage,Fromage
Crème dessert vanille,Dessert,Lait
omellette,Plat,oeufs
keetchup,Accompagnement,Tomates
pommes rissolées / ketchup,Accompagnement,pomme de terre
Pastèque,Entrée,fruits autre
Raisin,Dessert,Bais et Raisins
Tarte au fromage ,Plat,Fromage
sauté de boeuf basse température,Plat,Boeuf
sauce Bourguignonne,Sauce,Vin rouge
Haricots verts,Accompagnement,legumes autres
Timbale de pâtes au canard,Plat,Blé Seigle
gruyère râpé,Fromage,Fromage
Salade au thon,Entrée,Poissons
thon,Plat,Poissons
fromage blanc / abricots secs,Fromage,Lait
Fromage de brebis,Fromage,Fromage
concombres),Entrée,legumes autres
Epinards,Accompagnement,legumes autres
Poire,Dessert,fruits autre
Poisson meunière,Plat,Poissons
tomate,Entrée,Tomates
Salade de riz (Riz,Entrée,Riz
Purée patates douces,Accompagnement,pomme de terre
Ile flottante,Dessert,Lait
radis / beurre,Entrée,legumes racines
Sauté de veau marengo,Plat,Veau
Batonnière de légumes,Accompagnement,legumes autres
Poisson sauce crustacés,Plat,Poissons
Eclair chocolat,Dessert,Lait
Tomme noire,Fromage,Fromage
Concombres,Entrée,legumes autres
Pomme,Dessert,fruits autre
Crème de gruyère,Entrée,Fromage
Rôti de dinde,Plat,Volaille
jus de veau,Sauce,Veau
Brocolis,Accompagnement,legumes autres
Taboulé,Entrée,Blé Seigle
Melon,Entrée,fruits autre
parmentier de poisson,Plat,Poissons
Yaourt aro,Dessert,Lait
salade verte,Entrée,legumes autres
Semoule au lait bio,Dessert,Lait
concombres),Entrée,legumes autres
Carottes au cumin,Accompagnement,legumes racines
Poisson pané,Plat,Poissons
tomate,Entrée,Tomates
Salade carnaval (maïs,Entrée,Mais
Choux rouges bio,Accompagnement,type chou
Flan caramel,Dessert,Lait
Pommes noisette,Accompagnement,pomme de terre
Paupiette de volaille sauce forestière,Plat,Volaille
Rôti de boeuf + sauce au poivre,Plat,Boeuf
Pizza au fromage,Plat,Fromage
banane,Dessert,Banane
Chanteneige,Fromage,Fromage
Petits pois,Accompagnement,legumes autres
Velouté de lentilles bio,Entrée,Legumineuse autre
Tomme bio,Fromage,Fromage
clafoutis de poireaux,Plat,Poireau
Salade verte aux croûtons,Entrée,legumes autres
Poire,Dessert,fruits autre
Salade / surimi,Entrée,Poissons
Suisses aro,Fromage,Fromage
et gruyère râpé,Fromage,Fromage
Pâtes à la bolognaise,Plat,Boeuf
Raisin,Dessert,Bais et Raisins
tarte au fromage,Dessert,Fromage
Rôti de porc au jus,Plat,Porc
marmelade,Dessert,fruits autre
roti de dinde,Plat,Volaille
Lait bio,Fromage,Lait
demi-pamplemousse,Entrée,agrumes
Poisson beurre blanc,Plat,Poissons
Palet brocolis/carottes,Accompagnement,type chou
Gâteau aux pépites de chocolat,Dessert,Sucre Cannes
Omelette,Plat,oeufs
Ananas,Dessert,fruits autre
Tomme blanche,Fromage,Fromage
Radis/beurre,Entrée,legumes racines
Rizotto à la tomate,Plat,Riz
Pommes vapeur,Accompagnement,pomme de terre
Gaspacho,Entrée,legumes autres
crème chocolat,Dessert,Sucre Cannes
Poisson sauce Normande,Plat,Poissons
salade,Accompagnement,legumes autres
Lasagnes,Plat,Boeuf
Yaourt bio,Fromage,Lait
Betteraves bio râpée,Entrée,legumes racines
St Paulin,Fromage,Fromage
cornichons,Accompagnement,legumes autres
banane,Dessert,Banane
salsifis beurreProvençal,Accompagnement,legumes racines
Pâté de foie bio,Entrée,Boeuf
Emincé de dinde dijonnaise,Plat,Volaille
Salade de blé bio (Blé bio,Accompagnement,Blé Seigle
Chèvre,Fromage,Fromage
tomates,Accompagnement,Tomates
Poire,Dessert,fruits autre
Courgettes à la tomate,Accompagnement,legumes autres
Poisson meunière,Plat,Poissons
maïs),Accompagnement,Mais
Radis / beurre,Entrée,legumes racines
Fromage blanc / miel (coupelle),Fromage,Lait
Semoule,Accompagnement,Blé Seigle
Boulettes de boeuf en tagine,Plat,Boeuf
Tomme bio,Fromage,Fromage
Pomme bio,Dessert,fruits autre
Salade de pâtes aux tomates confites,Entrée,Tomates
j de dinde,Plat,Volaille
jambon fumée au miel et orange,Entrée,Porc
Haricots beurre,Accompagnement,Legumineuse autre
Petits pois,Accompagnement,Legumineuse autre
Lait bio,Fromage,Lait
Choux blancs bio à la mimolette,Accompagnement,type chou
Poulet rôti fermier SDA,Plat,Volaille
Parmentier de poisson,Plat,Poissons
Salade verte,Accompagnement,legumes autres
carottes râpées vinaigrette au miel,Entrée,legumes racines
Liégois chocolat,Dessert,Sucre Cannes
Choux fleurs béchamel,Accompagnement,type chou
Edam,Fromage,Fromage
Ananas,Dessert,fruits autre
Potage / croûtons,Entrée,legumes autres
Sauté de veau chasseur,Plat,Boeuf
Riz,Accompagnement,Riz
Champanet,Fromage,Fromage
Concombres à la crème,Entrée,legumes autres
Compte po/framboise,Dessert,Bais et Raisins
filet de poisson surgelé baies roses,Plat,Poissons
Yaourt aro,Fromage,Lait
Saucisses Toulouse,Plat,Porc
saucisses de volaille,Plat,Volaille
Salade aux dés de chèvre,Entrée,Fromage
Mogettes,Accompagnement,Legumineuse autre
Carottes,Accompagnement,legumes racines
salade de pommes de terre (Pommes de terre,Accompagnement,pomme de terre
Omelette,Plat,oeufs
thon),Accompagnement,Poissons
Camembert,Fromage,Fromage
tomate,Accompagnement,Tomates
poire,Dessert,fruits autre
Fromage blanc / abricots secs,Fromage,Lait
Paëlla,Plat,Riz
Salade verte / demi-oeuf,Entrée,oeufs
Radis / beurre,Entrée,legumes racines
Pommes vapeur,Accompagnement,pomme de terre
filet de poisson sauce crustacés,Plat,Poissons
flan choco,Dessert,Sucre Cannes
Sauté de boeuf bourguignon,Plat,Boeuf
Crème de gruyère,Fromage,Fromage
Banane,Dessert,Banane
Potage tomate/vermicelle,Entrée,Tomates
Haricots verts,Accompagnement,Legumineuse autre
Camenbert,Fromage,Fromage
Tarte aux pommes,Dessert,fruits autre
Courgettes à la tomate,Accompagnement,legumes autres
